Series Name,Series Code,Country Name,Country Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Bulgaria,BGR,9691.0,12471.0,12221.0,15974.0,11237.0,11321.0,12297.0,11826.0,11736.0,11755.0,11768.0,12187.0,11748.0,11435.0,10111.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Burkina Faso,BFA,1471.0,1512.0,1614.0,1413.0,1433.0,4235.0,3983.15025906736,3856.22456300177,3780.0,3672.0,3875.0,3861.0,3863.0,3988.0,4254.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Burundi,BDI,,,,,,,,,,,,,,,,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Cabo Verde,CPV,19905.0,19862.0,21086.0,12236.0,11560.0,10363.0,10658.0712931195,10555.2286515647,8148.0,7728.0,7989.0,8745.0,4868.0,9385.0,10205.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Cambodia,KHM,3207.0,3998.0,4324.0,3667.0,3304.0,5104.72222222222,7191.0,7432.0,11897.0432386171,14732.0,12983.0,11933.0,14372.0,14387.0,14850.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Cameroon,CMR,10696.0,10925.0,11650.0,9471.0,9501.0,0.0,3036.0,4938.0,5640.0,5640.0,5499.0,8212.0,5640.0,5550.0,4724.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Canada,CAN,1018480.0,1042100.0,1188947.0,1200361.0,1198381.0,1234528.61925597,1245743.61579713,1280198.18557714,1263297.33686341,1290419.0,1322033.0,1359442.0,1443818.0,1250460.0,1215983.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Cayman Islands,CYM,,,,,,,,,,,,,,,,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Central African Republic,CAF,,,,,,,,,,,,,,,,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Chad,TCD,,,,,,699.531448355453,984.0,664.0,72.0,72.0,,,,,,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Channel Islands,CHI,,,,,,,,,,,,,,,,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Chile,CHL,93003.0,94770.0,101008.0,108565.0,97473.0,108840.0,123739.0,125120.0,127631.0,124480.0,116532.0,116238.0,124316.0,134661.0,143964.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,China,CHN,1349269.0,1542564.0,1753550.0,1853088.0,2140124.0,2377789.0,2538667.0,2779741.0,3073450.0,3356756.0,3616026.0,3952098.0,4359033.0,4692008.0,4963752.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Colombia,COL,162095.0,175006.0,185872.0,187382.0,196298.0,226094.0,237570.829047845,254059.928996848,304365.908,349864.363,368947.0,366188.0,355039.0,358874.0,371985.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Comoros,COM,,,,,,,,,,,,,,,,
